"tract","Name","Employment_Rate_rP_gP_pall"
24027605505,"River Hill, Clarksville, MD",0.9005
24005490302,"Towson, MD",0.8864
24027602700,"Taylor Village, Ellicott City, MD",0.8808
24027606804,"Kings Contrivance, Columbia, MD",0.8793
24510130805,"Cold Springs, Baltimore, MD",0.8738
24005408602,"Lutherville-Timonium, MD",0.8656
24005490602,"Baltimore, MD",0.8654
24027606805,"Laurel, MD",0.8652
24025301106,"Bel Air, MD",0.8642
24027606705,"Owen Brown, Columbia, MD",0.8594
24025304201,"Fallston, MD",0.8567
24005490701,"Towson, MD",0.8559
24005491000,"Baltimore, MD",0.855
24005411101,"Kingsville, MD",0.8545
24027602303,"Ellicott City, MD",0.8537
24027606803,"Kings Contrivance, Columbia, MD",0.8515
24033800215,"Laurel, MD",0.8505
24510271501,"Mount Washington, Baltimore, MD",0.8494
24027602304,"Ellicott City, MD",0.8458
24025303300,"Fallston, MD",0.8457
24025303501,"Bel Air, MD",0.8452
24025303204,"Forest Hill, MD",0.8451
24025301108,"Abingdon, MD",0.8443
24005492101,"Parkville, MD",0.8436
24510271200,"Homeland, Baltimore, MD",0.8435
24005400500,"Catonsville, MD",0.8434
24027606604,"Columbia, MD",0.8424
24025303102,"Churchville, MD",0.8423
24031701421,"Silver Spring, MD",0.8407
24025302100,"Havre de Grace, MD",0.8406
24027603001,"Woodstock, MD",0.8405
24003740103,"Hanover, MD",0.8395
24033800402,"Bowie, MD",0.839
24005411303,"Nottingham, MD",0.8388
24003740702,"Odenton, MD",0.8386
24005404402,"Reisterstown, MD",0.838
24027602305,"Ellicott City, MD",0.838
24027606701,"Kings Contrivance, Columbia, MD",0.8375
24025301105,"Abingdon, MD",0.8373
24005403802,"Pikesville, MD",0.8371
24033800401,"Bowie, MD",0.837
24025303203,"Forest Hill, MD",0.8368
24003731002,"Annapolis, MD",0.8366
24031703100,"Silver Spring, MD",0.8364
24005411406,"Nottingham, MD",0.8358
24027605104,"Clarksville, MD",0.8358
24025303602,"Bel Air, MD",0.8357
24013505203,"Eldersburg, MD",0.8357
24005411308,"Nottingham, MD",0.835
24031701701,"Takoma Park, MD",0.8346
24033807407,"Beltsville, MD",0.8346
24003731102,"Arnold, MD",0.8344
24003702209,"Crofton, MD",0.8342
24013504202,"Westminster, MD",0.8327
24003730601,"Millersville, MD",0.8321
24027605602,"Hickory Ridge, Columbia, MD",0.8316
24031701409,"Burtonsville, MD",0.831
24013505207,"Sykesville, MD",0.8308
24003730204,"Glen Burnie, MD",0.8308
24005441101,"Rosedale, MD",0.8306
24005408704,"Mays Chapel, Lutherville-Timonium, MD",0.8306
24005404201,"Owings Mills, MD",0.8303
24013505102,"Sykesville, MD",0.8298
24013507500,"Westminster, MD",0.8297
24027605102,"Fulton, MD",0.8295
24025303502,"Bel Air, MD",0.8294
24027605401,"Dorsey's Search, Columbia, MD",0.8294
24003750400,"Linthicum Heights, MD",0.8289
24005401400,"Catonsville, MD",0.8288
24003731203,"Severna Park, MD",0.8283
24005408303,"Reisterstown, MD",0.8282
24005400200,"Catonsville, MD",0.8277
24005404900,"Owings Mills, MD",0.8276
24005430600,"Relay, Halethorpe, MD",0.8274
24013507704,"Westminster, MD",0.8272
24005411307,"Nottingham, MD",0.827
24013508200,"Hampstead, MD",0.8269
24005411309,"Perry Hall, MD",0.8268
24033806708,"Greenbelt, MD",0.8266
24027603004,"Ellicott City, MD",0.8266
24005408703,"Mays Chapel, Lutherville-Timonium, MD",0.8266
24031703000,"South Four Corners, Silver Spring, MD",0.8265
24003731103,"Arnold, MD",0.8265
24027602306,"Dunloggin, Ellicott City, MD",0.8264
24005400400,"Catonsville, MD",0.8264
24025301102,"Bel Air, MD",0.8262
24003702205,"Crofton, MD",0.826
24027606806,"Kings Contrivance, Laurel, MD",0.8256
24005403803,"Pikesville, MD",0.8253
24005440200,"Nottingham, MD",0.8253
24031701507,"Silver Spring, MD",0.825
24005411409,"Nottingham, MD",0.8247
24005401505,"Catonsville, MD",0.8247
24003740800,"Gambrills, MD",0.8246
24003731004,"Annapolis, MD",0.8246
24003740104,"Severn, MD",0.8244
24027606607,"Long Reach, Columbia, MD",0.824
24033806706,"Greenbelt, MD",0.8237
24005411201,"Baldwin, MD",0.8235
24031701415,"Silver Spring, MD",0.8235
24005408702,"Towson, MD",0.8232
24031701407,"Silver Spring, MD",0.8228
24025304202,"Forest Hill, MD",0.8225
24031701408,"Spencerville, MD",0.8225
24033805904,"Hyattsville, MD",0.8225
24003730504,"South Gate, Millersville, MD",0.8222
24013505206,"Marriottsville, MD",0.8222
24031701503,"Silver Spring, MD",0.8213
24031701317,"Brookeville, MD",0.8208
24005408502,"Lutherville, Lutherville-Timonium, MD",0.8208
24031702302,"Silver Spring, MD",0.8207
24003731003,"Annapolis, MD",0.8206
