"tract","Name","Employment_Rate_rP_gP_p75"
24510010500,"Upper Fells Point, Baltimore, MD",0.9326
24005490302,"Towson, MD",0.9079
24027605505,"River Hill, Clarksville, MD",0.9052
24005411101,"Kingsville, MD",0.9045
24005408602,"Lutherville-Timonium, MD",0.8967
24005490602,"Baltimore, MD",0.8957
24510040200,"Downtown, Baltimore, MD",0.8955
24510020100,"Upper Fells Point, Baltimore, MD",0.8951
24033800215,"Laurel, MD",0.8949
24005491300,"Baltimore, MD",0.8928
24013505207,"Sykesville, MD",0.8927
24027606804,"Kings Contrivance, Columbia, MD",0.8918
24031703100,"Silver Spring, MD",0.8917
24510170100,"Downtown, Baltimore, MD",0.8877
24510060300,"Butchers Hill, Baltimore, MD",0.8874
24510270200,"Lauraville, Baltimore, MD",0.8852
24027606805,"Laurel, MD",0.8848
24033800103,"Laurel, MD",0.884
24510130400,"Woodbrook, Baltimore, MD",0.8826
24003731004,"Annapolis, MD",0.8816
24027602700,"Taylor Village, Ellicott City, MD",0.8813
24027602600,"Ellicott City, MD",0.8812
24005403803,"Pikesville, MD",0.8807
24005492101,"Parkville, MD",0.8802
24510250101,"Beechfield, Baltimore, MD",0.8801
24027606705,"Owen Brown, Columbia, MD",0.8788
24510200400,"Shipley Hill, Baltimore, MD",0.8786
24025304201,"Fallston, MD",0.8782
24510130805,"Cold Springs, Baltimore, MD",0.8778
24025301106,"Bel Air, MD",0.8775
24510040100,"Downtown, Baltimore, MD",0.8765
24510250207,"Cherry Hill, Baltimore, MD",0.875
24005490701,"Towson, MD",0.8744
24003751700,"Crownsville, MD",0.8743
24027602303,"Ellicott City, MD",0.8743
24005491401,"Parkville, MD",0.8735
24510160300,"Sandtown-Winchester, Baltimore, MD",0.8732
24005491000,"Baltimore, MD",0.8731
24510010300,"Canton, Baltimore, MD",0.8716
24005492600,"Parkville, MD",0.8706
24003730204,"Glen Burnie, MD",0.8705
24005400200,"Catonsville, MD",0.8701
24510271300,"Roland Park, Baltimore, MD",0.8697
24005440300,"Nottingham, MD",0.8693
24031702101,"Montgomery Knolls, Silver Spring, MD",0.8692
24510270101,"Arcadia, Baltimore, MD",0.8688
24005401506,"Windsor Mill, Baltimore, MD",0.8686
24005404201,"Owings Mills, MD",0.8685
24025303203,"Forest Hill, MD",0.8684
24027602306,"Dunloggin, Ellicott City, MD",0.8681
24005403401,"Pikesville, MD",0.8679
24510260201,"Frankford, Baltimore, MD",0.8677
24005491500,"Parkville, MD",0.8676
24033800402,"Bowie, MD",0.8668
24003750804,"Glen Burnie, MD",0.8668
24005404403,"Reisterstown, MD",0.8667
24005411308,"Nottingham, MD",0.8657
24005491701,"Parkville, MD",0.8654
