"tract","Name","Employment_Rate_rP_gP_p25"
24003730601,"Millersville, MD",0.9771
24027605104,"Clarksville, MD",0.8749
24025301102,"Bel Air, MD",0.8693
24005403802,"Pikesville, MD",0.8688
24510130805,"Cold Springs, Baltimore, MD",0.8671
24027602700,"Taylor Village, Ellicott City, MD",0.8664
24027605505,"River Hill, Clarksville, MD",0.8658
24005408303,"Reisterstown, MD",0.853
24003702209,"Crofton, MD",0.8514
24031701421,"Silver Spring, MD",0.8342
24005408702,"Towson, MD",0.8337
24005430600,"Relay, Halethorpe, MD",0.8327
24031701316,"Sandy Spring, Ashton-Sandy Spring, MD",0.8321
24027606601,"Oakland Mills, Columbia, MD",0.8304
24005490601,"Baltimore, MD",0.8279
24005411201,"Baldwin, MD",0.8246
24025303606,"Bel Air, MD",0.823
24025303204,"Forest Hill, MD",0.8215
24031701407,"Silver Spring, MD",0.8212
24025303205,"Forest Hill, MD",0.8204
24031702102,"Woodmoor, Silver Spring, MD",0.8188
24013504202,"Westminster, MD",0.8187
24510120202,"Baltimore, MD",0.8168
24005490701,"Towson, MD",0.8152
24005441101,"Rosedale, MD",0.8126
24027606604,"Columbia, MD",0.8122
24005403500,"Pikesville, MD",0.8068
24033806706,"Greenbelt, MD",0.8043
24025303801,"Bel Air, MD",0.8039
24005491900,"Parkville, MD",0.8037
24031702401,"Silver Spring, MD",0.8034
24510271501,"Mount Washington, Baltimore, MD",0.8033
24027606804,"Kings Contrivance, Columbia, MD",0.8031
24005491100,"Baltimore, MD",0.8026
24033806712,"Greenbelt, MD",0.8024
24033807407,"Beltsville, MD",0.802
24033805904,"Hyattsville, MD",0.8015
24031702302,"Silver Spring, MD",0.7996
24005440200,"Nottingham, MD",0.7992
24027603001,"Woodstock, MD",0.7984
24035810800,"Stevensville, MD",0.7978
24003702205,"Crofton, MD",0.7952
24031701507,"Silver Spring, MD",0.7948
24005400500,"Catonsville, MD",0.793
24033807404,"Beltsville, MD",0.7921
24005403601,"Baltimore, MD",0.7921
24005400702,"Baltimore, MD",0.792
24003740603,"Fort Meade, MD",0.79
24033800401,"Bowie, MD",0.7899
24510270703,"North Harford Road, Baltimore, MD",0.7885
24005490302,"Towson, MD",0.7881
24027606803,"Kings Contrivance, Columbia, MD",0.7874
24005411409,"Nottingham, MD",0.7859
24033800210,"Laurel, MD",0.7857
24510170100,"Downtown, Baltimore, MD",0.7856
24005411202,"Glen Arm, MD",0.784
24003731102,"Arnold, MD",0.7837
24033800212,"Laurel, MD",0.7835
24005400800,"Catonsville, MD",0.7834
24031701503,"Silver Spring, MD",0.7823
24033806708,"Greenbelt, MD",0.7822
24027601204,"Elkridge, MD",0.7821
24003731003,"Annapolis, MD",0.782
24005404201,"Owings Mills, MD",0.781
24033806713,"Greenbelt, MD",0.7808
24031703000,"South Four Corners, Silver Spring, MD",0.7807
24027606704,"Owen Brown, Columbia, MD",0.7794
24027605401,"Dorsey's Search, Columbia, MD",0.7792
24027603004,"Ellicott City, MD",0.7791
24005411309,"Perry Hall, MD",0.7789
24031701505,"Silver Spring, MD",0.7787
24003740602,"Fort Meade, MD",0.7782
24003730204,"Glen Burnie, MD",0.7773
24510271200,"Homeland, Baltimore, MD",0.7762
24005400900,"Catonsville, MD",0.7762
24005402403,"Gwynn Oak, Baltimore, MD",0.776
24005490400,"Towson, MD",0.7759
24003702702,"Annapolis, MD",0.7751
24005490800,"Towson, MD",0.7748
24033800105,"Laurel, MD",0.7747
24013505206,"Marriottsville, MD",0.7746
24005408302,"Lutherville-Timonium, MD",0.7742
24031701409,"Burtonsville, MD",0.7737
24031701418,"Silver Spring, MD",0.7733
24003740105,"Severn, MD",0.7731
24033800403,"Bowie, MD",0.773
24003731002,"Annapolis, MD",0.7729
24027606705,"Owen Brown, Columbia, MD",0.7728
24027606905,"Savage, Savage, MD",0.7724
24005402504,"Randallstown, MD",0.7721
24510270903,"Hillen, Baltimore, MD",0.772
24005490200,"Lutherville-Timonium, MD",0.7717
24003740103,"Hanover, MD",0.7716
24027602305,"Ellicott City, MD",0.7715
24005490602,"Baltimore, MD",0.771
24003740305,"Odenton, MD",0.7707
24031703210,"Silver Spring, MD",0.7707
24033805907,"Hyattsville, MD",0.7699
24005491401,"Parkville, MD",0.7695
24005451000,"Essex, MD",0.7694
24027606707,"Columbia, MD",0.7686
24005408503,"Cockeysville, MD",0.7682
24510270802,"Ramblewood, Baltimore, MD",0.7682
24005402509,"Owings Mills, MD",0.7682
24031701415,"Silver Spring, MD",0.7679
24031701602,"Silver Spring, MD",0.7672
24003730506,"South Gate, Glen Burnie, MD",0.7668
24510240200,"Riverside, Baltimore, MD",0.7668
24027602302,"Columbia, MD",0.7666
24005408507,"Cockeysville, MD",0.7662
24027602201,"Ellicott City, MD",0.7662
24005403602,"Baltimore, MD",0.7662
24510270801,"Idlewood, Baltimore, MD",0.7657
24031701410,"Burtonsville, MD",0.7655
24025302801,"Aberdeen, MD",0.7651
24013507801,"Westminster, MD",0.765
24033806800,"Berwyn Heights, MD",0.7648
24510280401,"Baltimore, MD",0.7647
24027605602,"Hickory Ridge, Columbia, MD",0.7638
24005403701,"Owings Mills, MD",0.7634
24005492402,"Owings Mills, MD",0.763
24027601103,"West Elkridge, Elkridge, MD",0.7627
24031701508,"Silver Spring, MD",0.7627
24005400200,"Catonsville, MD",0.7626
24003740500,"Laurel, MD",0.7624
24033805906,"Adelphi, MD",0.7622
24033800213,"Laurel, MD",0.7621
24005451701,"Middle River, MD",0.762
24005400100,"Catonsville, MD",0.7617
24005404502,"Reisterstown, MD",0.7617
24033807409,"Beltsville, MD",0.7617
24033800208,"Laurel, MD",0.7612
24510220100,"Baltimore, MD",0.7604
24005403402,"Pikesville, MD",0.7603
24033800215,"Laurel, MD",0.76
24005401102,"Gwynn Oak, Woodlawn, MD",0.7591
24005408506,"Cockeysville, MD",0.7591
24005490100,"Towson, MD",0.759
24003706600,"Annapolis, MD",0.7588
24031701420,"Silver Spring, MD",0.7587
24510270502,"North Harford Road, Baltimore, MD",0.7586
24510280200,"Gwynn Oak, Baltimore, MD",0.758
24005403201,"Gwynn Oak, Lochearn, MD",0.7573
24013505203,"Eldersburg, MD",0.7566
24031702900,"Silver Spring, MD",0.7565
24033800211,"Laurel, MD",0.7564
24003731103,"Arnold, MD",0.7558
24510110100,"Downtown, Baltimore, MD",0.7556
24027606603,"Oakland Mills, Columbia, MD",0.7555
24025301704,"Belcamp, MD",0.7552
24005452400,"Dundalk, MD",0.7551
24033807410,"Beltsville, MD",0.7549
24031701414,"Silver Spring, MD",0.7543
24005490900,"Towson, MD",0.7542
24033800206,"Laurel, MD",0.7539
24510280500,"Pleasant View Gardens, Baltimore, MD",0.7538
24027604002,"Glenwood, MD",0.7537
24025301106,"Bel Air, MD",0.7533
24033800109,"Laurel, MD",0.7532
24013509001,"Westminster, MD",0.7531
24005402406,"Windsor Mill, Milford Mill, MD",0.7527
24003740702,"Odenton, MD",0.7524
24031702101,"Montgomery Knolls, Silver Spring, MD",0.7512
24033800408,"Glenn Dale, MD",0.7511
24031701509,"Silver Spring, MD",0.751
24005491600,"Parkville, MD",0.7503
24005404402,"Reisterstown, MD",0.7497
24027606904,"Laurel, MD",0.7497
24003730902,"Annapolis, MD",0.7496
24031702000,"New Hampshire Estates, Silver Spring, MD",0.7492
24033800103,"Laurel, MD",0.7489
24005411303,"Nottingham, MD",0.7488
24005492101,"Parkville, MD",0.7488
24005403300,"Lochearn, Pikesville, MD",0.7487
24027603003,"West Friendship, MD",0.7484
24027606906,"Laurel, MD",0.7482
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.748
24025303203,"Forest Hill, MD",0.748
24510260302,"Belair - Edison, Baltimore, MD",0.7478
24510200100,"Lexington, Baltimore, MD",0.7477
24027605601,"Hickory Ridge, Columbia, MD",0.7477
24005404403,"Reisterstown, MD",0.7475
24033807305,"Adelphi, MD",0.7474
24027605402,"Columbia, MD",0.7474
24031701702,"Takoma Park, MD",0.7469
24510151100,"East Arlington, Baltimore, MD",0.7468
24005402505,"Randallstown, MD",0.7467
24033800108,"Laurel, MD",0.7467
24005411406,"Nottingham, MD",0.7467
24005403100,"Gwynn Oak, Pikesville, MD",0.7464
24027605503,"Harper's Choice, Columbia, MD",0.7458
24510151200,"Park Circle, Baltimore, MD",0.7457
24005402306,"Windsor Mill, Baltimore, MD",0.7455
24025302902,"Aberdeen, MD",0.7453
24003740104,"Severn, MD",0.7452
24025302200,"Aberdeen, MD",0.745
24510280402,"Rognel Heights, Baltimore, MD",0.7448
24005492401,"Owings Mills, MD",0.7443
24003702204,"Crofton, MD",0.7442
24510270302,"Waltherson, Baltimore, MD",0.7441
24031702200,"Silver Spring, MD",0.744
24003702206,"Crofton, MD",0.7439
24033800410,"Bowie, MD",0.7438
24005420401,"Dundalk, MD",0.7438
24025301105,"Abingdon, MD",0.7437
24031703100,"Silver Spring, MD",0.7435
24005401505,"Catonsville, MD",0.7434
24510270200,"Lauraville, Baltimore, MD",0.7433
24510010100,"Canton, Baltimore, MD",0.743
24025303603,"Bel Air, MD",0.7427
24510270402,"Glenham-Belford, Baltimore, MD",0.7424
24510270902,"Perring Loch, Baltimore, MD",0.7423
24033807000,"College Park, MD",0.7423
24029950400,"Chestertown, MD",0.7417
24031701423,"Silver Spring, MD",0.7417
24005401507,"Windsor Mill, Baltimore, MD",0.7415
24025301202,"Bel Air, MD",0.7415
24027606606,"Long Reach, Columbia, MD",0.7415
24510280403,"Westgate, Baltimore, MD",0.7413
24013507802,"Westminster, MD",0.741
24005404501,"Reisterstown, MD",0.7409
24005408800,"Lutherville-Timonium, MD",0.7409
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.7399
24510120400,"Barclay, Baltimore, MD",0.7398
24025303602,"Bel Air, MD",0.7397
24005402602,"Randallstown, MD",0.7395
24025302400,"Aberdeen, MD",0.7393
24013507702,"Westminster, MD",0.7389
24005420702,"Dundalk, MD",0.7383
24005411306,"Nottingham, MD",0.7381
24013507602,"Westminster, MD",0.7379
24510270901,"New Northwood, Baltimore, MD",0.7376
24033806714,"Greenbelt, MD",0.7374
24510250101,"Beechfield, Baltimore, MD",0.7372
24031701506,"Silver Spring, MD",0.7371
24003731310,"Green Haven, Pasadena, MD",0.7369
24005401506,"Windsor Mill, Baltimore, MD",0.7366
24025306500,"Aberdeen Proving Ground, MD",0.7366
24510270301,"Lauraville, Baltimore, MD",0.7366
24025301601,"Edgewood, MD",0.7364
24031702301,"Silver Spring, MD",0.7362
24033807405,"Beltsville, MD",0.7362
24005451900,"Edgemere, MD",0.7359
24027606805,"Laurel, MD",0.7359
24005402305,"Lochearn, Pikesville, MD",0.7358
24003740601,"Fort Meade, MD",0.7353
24003750803,"Glen Burnie, MD",0.735
24027601108,"Ellicott City, MD",0.7349
24005410200,"Phoenix, MD",0.734
24510080302,"Berea, Baltimore, MD",0.7338
24003740701,"Odenton, MD",0.7337
