"tract","Name","Employment_Rate_rP_gP_p50"
24027605505,"River Hill, Clarksville, MD",0.8885
24003730601,"Millersville, MD",0.8867
24027602700,"Taylor Village, Ellicott City, MD",0.875
24510130805,"Cold Springs, Baltimore, MD",0.8733
24005490302,"Towson, MD",0.8572
24027606804,"Kings Contrivance, Columbia, MD",0.8542
24005490701,"Towson, MD",0.8494
24510170100,"Downtown, Baltimore, MD",0.8445
24510010500,"Upper Fells Point, Baltimore, MD",0.8437
24005490602,"Baltimore, MD",0.8429
24027605104,"Clarksville, MD",0.8419
24005403802,"Pikesville, MD",0.8416
24031701421,"Silver Spring, MD",0.8416
24003702209,"Crofton, MD",0.8399
24033800215,"Laurel, MD",0.8377
24025301102,"Bel Air, MD",0.8376
24510271501,"Mount Washington, Baltimore, MD",0.8371
24027606604,"Columbia, MD",0.837
24025303204,"Forest Hill, MD",0.8365
24005408303,"Reisterstown, MD",0.8358
24027606705,"Owen Brown, Columbia, MD",0.8339
24005404201,"Owings Mills, MD",0.8314
24031702302,"Silver Spring, MD",0.8311
24003730204,"Glen Burnie, MD",0.831
24033807407,"Beltsville, MD",0.8307
24005430600,"Relay, Halethorpe, MD",0.8301
24027606803,"Kings Contrivance, Columbia, MD",0.8299
24005491401,"Parkville, MD",0.8295
24031703100,"Silver Spring, MD",0.829
24033806708,"Greenbelt, MD",0.8289
24027603001,"Woodstock, MD",0.8281
24013504202,"Westminster, MD",0.8281
24005441101,"Rosedale, MD",0.8279
24033800103,"Laurel, MD",0.8268
24033806712,"Greenbelt, MD",0.8266
24033805904,"Hyattsville, MD",0.8256
24510040200,"Downtown, Baltimore, MD",0.8253
24510270200,"Lauraville, Baltimore, MD",0.8251
24025301106,"Bel Air, MD",0.8249
24005400200,"Catonsville, MD",0.8246
24003740105,"Severn, MD",0.8245
24005492101,"Parkville, MD",0.8245
24005411201,"Baldwin, MD",0.8243
24510271200,"Homeland, Baltimore, MD",0.8235
24003730506,"South Gate, Glen Burnie, MD",0.8231
24027606601,"Oakland Mills, Columbia, MD",0.823
24025303606,"Bel Air, MD",0.8225
24031701407,"Silver Spring, MD",0.8225
24033800401,"Bowie, MD",0.8221
24027606805,"Laurel, MD",0.8217
24005400702,"Baltimore, MD",0.8215
24027605401,"Dorsey's Search, Columbia, MD",0.8207
24033806706,"Greenbelt, MD",0.8197
24510250101,"Beechfield, Baltimore, MD",0.8196
24003731002,"Annapolis, MD",0.8193
24031702101,"Montgomery Knolls, Silver Spring, MD",0.8192
24003740103,"Hanover, MD",0.8191
24031703000,"South Four Corners, Silver Spring, MD",0.8185
24005404502,"Reisterstown, MD",0.8182
24005400800,"Catonsville, MD",0.8177
24033806713,"Greenbelt, MD",0.8176
24005440200,"Nottingham, MD",0.8176
24025303203,"Forest Hill, MD",0.8174
24031701507,"Silver Spring, MD",0.8174
24003731102,"Arnold, MD",0.8173
24033807409,"Beltsville, MD",0.8173
24003702205,"Crofton, MD",0.8166
24005404403,"Reisterstown, MD",0.8162
24005400900,"Catonsville, MD",0.8159
24033800206,"Laurel, MD",0.8155
24005400500,"Catonsville, MD",0.8154
24027603004,"Ellicott City, MD",0.8153
24025303801,"Bel Air, MD",0.8149
24033800210,"Laurel, MD",0.8148
24005403701,"Owings Mills, MD",0.8145
24031701316,"Sandy Spring, Ashton-Sandy Spring, MD",0.8144
24510151200,"Park Circle, Baltimore, MD",0.8137
24031701409,"Burtonsville, MD",0.8134
24031702102,"Woodmoor, Silver Spring, MD",0.8132
24510130400,"Woodbrook, Baltimore, MD",0.8129
24031701415,"Silver Spring, MD",0.8128
24005401506,"Windsor Mill, Baltimore, MD",0.8127
24005411409,"Nottingham, MD",0.8123
24027605602,"Hickory Ridge, Columbia, MD",0.8121
24027602600,"Ellicott City, MD",0.8121
24031701503,"Silver Spring, MD",0.8121
24005404402,"Reisterstown, MD",0.812
24005411303,"Nottingham, MD",0.8119
24510020100,"Upper Fells Point, Baltimore, MD",0.8116
24027602305,"Ellicott City, MD",0.8113
24003740702,"Odenton, MD",0.8112
24005401505,"Catonsville, MD",0.8111
24005411309,"Perry Hall, MD",0.8109
24510200400,"Shipley Hill, Baltimore, MD",0.8109
24005490601,"Baltimore, MD",0.8109
24005408702,"Towson, MD",0.8105
24031701602,"Silver Spring, MD",0.8105
24003731003,"Annapolis, MD",0.8099
24027606603,"Oakland Mills, Columbia, MD",0.8096
24013505203,"Eldersburg, MD",0.8091
24035810800,"Stevensville, MD",0.809
24510280200,"Gwynn Oak, Baltimore, MD",0.8088
24005411202,"Glen Arm, MD",0.8086
24005403401,"Pikesville, MD",0.8085
24025301601,"Edgewood, MD",0.8079
24031701505,"Silver Spring, MD",0.8071
24003730504,"South Gate, Millersville, MD",0.807
24510010100,"Canton, Baltimore, MD",0.8069
24025301105,"Abingdon, MD",0.8067
24005491900,"Parkville, MD",0.8063
24510260402,"Frankford, Baltimore, MD",0.8062
24027606704,"Owen Brown, Columbia, MD",0.8061
24013505206,"Marriottsville, MD",0.8058
24005404501,"Reisterstown, MD",0.8056
24031701420,"Silver Spring, MD",0.8056
24005411406,"Nottingham, MD",0.8055
24005491701,"Parkville, MD",0.8054
24033807404,"Beltsville, MD",0.8054
24003740305,"Odenton, MD",0.8053
24510040100,"Downtown, Baltimore, MD",0.8053
24510270502,"North Harford Road, Baltimore, MD",0.8052
24033800402,"Bowie, MD",0.8052
24003740603,"Fort Meade, MD",0.8051
24003740104,"Severn, MD",0.8051
24510250203,"Cherry Hill, Baltimore, MD",0.805
24005403100,"Gwynn Oak, Pikesville, MD",0.8047
24510270802,"Ramblewood, Baltimore, MD",0.8046
24005402403,"Gwynn Oak, Baltimore, MD",0.8044
24003740602,"Fort Meade, MD",0.8043
24025303300,"Fallston, MD",0.8037
24033800211,"Laurel, MD",0.8035
24510270703,"North Harford Road, Baltimore, MD",0.8035
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.8035
24029950400,"Chestertown, MD",0.8032
24025304201,"Fallston, MD",0.8032
24003731103,"Arnold, MD",0.8032
24005408507,"Cockeysville, MD",0.8029
24033800403,"Bowie, MD",0.8029
24510260201,"Frankford, Baltimore, MD",0.8026
24510270901,"New Northwood, Baltimore, MD",0.8026
24510271002,"Winston - Govans, Baltimore, MD",0.8022
24033800408,"Glenn Dale, MD",0.8021
24027602302,"Columbia, MD",0.8019
24025302802,"Aberdeen, MD",0.8019
24031701410,"Burtonsville, MD",0.8018
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.8016
24005440300,"Nottingham, MD",0.8015
24025301704,"Belcamp, MD",0.8013
24005404900,"Owings Mills, MD",0.8013
24025303205,"Forest Hill, MD",0.8012
24033800105,"Laurel, MD",0.8009
24510150600,"NW Community Action, Baltimore, MD",0.8006
24033805700,"Hyattsville, MD",0.8006
24510280500,"Pleasant View Gardens, Baltimore, MD",0.8002
24005411307,"Nottingham, MD",0.7999
24027602304,"Ellicott City, MD",0.7999
24033800212,"Laurel, MD",0.7999
24510160300,"Sandtown-Winchester, Baltimore, MD",0.7998
24027606901,"Savage, Jessup, MD",0.7998
24033806800,"Berwyn Heights, MD",0.7997
24005491600,"Parkville, MD",0.7995
24005451600,"Middle River, MD",0.7993
24027601103,"West Elkridge, Elkridge, MD",0.799
24031701423,"Silver Spring, MD",0.7989
24027602306,"Dunloggin, Ellicott City, MD",0.7986
24013507801,"Westminster, MD",0.7986
24510020300,"Fells Point, Baltimore, MD",0.7984
24005402306,"Windsor Mill, Baltimore, MD",0.7982
24005403601,"Baltimore, MD",0.798
24033800208,"Laurel, MD",0.7978
24005408502,"Lutherville, Lutherville-Timonium, MD",0.7978
24027605601,"Hickory Ridge, Columbia, MD",0.7978
24005490100,"Towson, MD",0.7977
24005401000,"Catonsville, MD",0.7975
24031701508,"Silver Spring, MD",0.7971
24025303602,"Bel Air, MD",0.7969
24027606606,"Long Reach, Columbia, MD",0.7969
24005403402,"Pikesville, MD",0.7968
24510270903,"Hillen, Baltimore, MD",0.7965
24510270101,"Arcadia, Baltimore, MD",0.796
24025301401,"Harford County, MD",0.7958
24027606906,"Laurel, MD",0.7958
24005408503,"Cockeysville, MD",0.7955
24005402304,"Gwynn Oak, Baltimore, MD",0.7955
24031701317,"Brookeville, MD",0.7955
24003730502,"South Gate, Glen Burnie, MD",0.7951
24005401507,"Windsor Mill, Baltimore, MD",0.7948
24003750400,"Linthicum Heights, MD",0.7948
24005490200,"Lutherville-Timonium, MD",0.7947
24005451000,"Essex, MD",0.7947
24510280401,"Baltimore, MD",0.7945
24031701506,"Silver Spring, MD",0.7945
24025302801,"Aberdeen, MD",0.7944
24027606607,"Long Reach, Columbia, MD",0.7944
24027604002,"Glenwood, MD",0.7943
24510200702,"Saint Joseph's, Baltimore, MD",0.7943
24005491300,"Baltimore, MD",0.7943
24510030100,"Perkins Homes, Baltimore, MD",0.7938
24510060300,"Butchers Hill, Baltimore, MD",0.7936
24005490800,"Towson, MD",0.7936
24003731310,"Green Haven, Pasadena, MD",0.7936
24510271801,"Arlington, Baltimore, MD",0.7935
24033800410,"Bowie, MD",0.7932
24005402307,"Pikesville, MD",0.793
24510280402,"Rognel Heights, Baltimore, MD",0.7929
24005451701,"Middle River, MD",0.7929
24005452400,"Dundalk, MD",0.7926
24005401101,"Woodlawn, MD",0.7925
24510120400,"Barclay, Baltimore, MD",0.7925
24005492600,"Parkville, MD",0.7924
24033800106,"Laurel, MD",0.7923
24003750804,"Glen Burnie, MD",0.7923
24510270801,"Idlewood, Baltimore, MD",0.7916
24031701414,"Silver Spring, MD",0.7916
24510120202,"Baltimore, MD",0.7915
24025303501,"Bel Air, MD",0.7915
24510150800,"Garwyn Oaks, Baltimore, MD",0.7911
24027605102,"Fulton, MD",0.7911
24005411407,"Parkville, MD",0.7909
24510270302,"Waltherson, Baltimore, MD",0.7909
24003740601,"Fort Meade, MD",0.7909
24005404404,"Reisterstown, MD",0.7909
24510250207,"Cherry Hill, Baltimore, MD",0.7905
24027603003,"West Friendship, MD",0.7904
24003702206,"Crofton, MD",0.7904
24027606905,"Savage, Savage, MD",0.7901
24510270902,"Perring Loch, Baltimore, MD",0.7899
24003740500,"Laurel, MD",0.7899
24033800213,"Laurel, MD",0.7899
24027605402,"Columbia, MD",0.7897
24013507602,"Westminster, MD",0.7894
24027602201,"Ellicott City, MD",0.7893
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.7893
24005451803,"Middle River, MD",0.7892
24025303603,"Bel Air, MD",0.7889
24031702000,"New Hampshire Estates, Silver Spring, MD",0.7888
24005411306,"Nottingham, MD",0.7886
24005403300,"Lochearn, Pikesville, MD",0.7886
