"tract","Name","Employment_Rate_rP_gP_pall"
17031070103,"Lincoln Park, Chicago, IL",0.9356
17043845808,"Woodridge, IL",0.8733
17031061100,"Wrigleyville, Chicago, IL",0.8732
17031060300,"Lake View, Chicago, IL",0.8678
17031090200,"Edison Park, Chicago, IL",0.8655
17031090300,"Edison Park, Chicago, IL",0.8654
17043844802,"Downers Grove, IL",0.8635
17197881002,"Lockport, IL",0.8624
17031770202,"Elk Grove Village, IL",0.8609
17197881011,"Homer Glen, IL",0.8601
17043845802,"Darien, IL",0.8594
17043845703,"Downers Grove, IL",0.8591
17031819801,"Western Springs, IL",0.8588
17031740200,"Mount Greenwood, Chicago, IL",0.8584
17031824115,"Orland Park, IL",0.8582
17043845702,"Downers Grove, IL",0.8567
17031805502,"Park Ridge, IL",0.8564
17031411100,"Hyde Park, Chicago, IL",0.8553
17043843000,"Elmhurst, IL",0.8551
17043844002,"Elmhurst, IL",0.8531
17031090100,"Edison Park, Chicago, IL",0.8521
17031750300,"South Side, Chicago, IL",0.8519
17031770601,"Des Plaines, IL",0.8516
17031806102,"Des Plaines, IL",0.848
17031823903,"Palos Park, IL",0.8471
17031822601,"Oak Lawn, IL",0.8471
17031824503,"Midlothian, IL",0.8462
17031120100,"Forest Glen, Chicago, IL",0.8461
17043845000,"Westmont, IL",0.846
17031808302,"Morton Grove, IL",0.8454
17031822802,"Oak Lawn, IL",0.8449
17031819700,"La Grange, IL",0.8446
17031070200,"Lincoln Park, Chicago, IL",0.8444
17031720300,"South Side, Chicago, IL",0.8441
17031823605,"Palos Heights, IL",0.8432
17031740300,"South Side, Chicago, IL",0.8432
17031821900,"Evergreen Park, IL",0.8431
17031824107,"Orland Park, IL",0.8426
17043840202,"Addison, IL",0.8423
17031819802,"Western Springs, IL",0.842
17031823604,"Palos Heights, IL",0.8419
17031818100,"Westchester, IL",0.8419
17031823102,"Worth, IL",0.8415
17031100500,"Norwood Park, Chicago, IL",0.8413
17043844501,"Villa Park, IL",0.8408
17031812200,"Oak Park, IL",0.8407
17031821800,"Evergreen Park, IL",0.8406
17031720600,"South Side, Chicago, IL",0.8405
17031818200,"Westchester, IL",0.8399
17031818401,"Hillside, IL",0.8395
17031770901,"Harwood Heights, IL",0.8383
17031700502,"Ashburn, Chicago, IL",0.8375
17031818600,"La Grange Park, IL",0.8374
17031823801,"Palos Park, IL",0.8368
17031812400,"Oak Park, IL",0.8367
17031100700,"Norwood Park, Chicago, IL",0.8365
17031824505,"Oak Forest, IL",0.8362
17043845507,"Darien, IL",0.8358
17031806600,"Des Plaines, IL",0.8357
17031071700,"Lincoln Park, Chicago, IL",0.8356
17031071300,"Lincoln Park, Chicago, IL",0.8353
17031812100,"Oak Park, IL",0.8351
17031810900,"Elmwood Park, IL",0.8345
17043843602,"Lombard, IL",0.8345
17031100400,"Norwood Park, Chicago, IL",0.8341
17043844801,"Downers Grove, IL",0.834
17031815600,"North Riverside, IL",0.8339
17031824113,"Orland Park, IL",0.8339
17031815000,"Berwyn, IL",0.8335
17031561100,"South Side, Chicago, IL",0.8327
17031820101,"Indian Head Park, IL",0.8326
17031805501,"Park Ridge, IL",0.8321
17031805112,"Des Plaines, IL",0.8319
17031640500,"South Side, Chicago, IL",0.8318
17031805600,"Park Ridge, IL",0.8316
17031824506,"Oak Forest, IL",0.8313
17031806400,"Des Plaines, IL",0.8311
17043845509,"Westmont, IL",0.8309
17031824602,"Oak Forest, IL",0.8309
17031824006,"Lemont, IL",0.8308
17031770300,"Elk Grove Village, IL",0.8306
17031824003,"Lemont, IL",0.8306
17031804902,"Des Plaines, IL",0.8306
17031805802,"Park Ridge, IL",0.8305
17043845807,"Downers Grove, IL",0.8303
17197881005,"Lockport, IL",0.8301
