"tract","Name","Employment_Rate_rP_gP_p75"
17031061100,"Wrigleyville, Chicago, IL",1
17031081900,"Cabrini-Green, Chicago, IL",0.976
17031240600,"West Town, Chicago, IL",0.9715
17031381500,"Bronzeville, Chicago, IL",0.9676
17031222600,"Logan Square, Chicago, IL",0.9494
17031230300,"Humboldt Park, Chicago, IL",0.9485
17031070103,"Lincoln Park, Chicago, IL",0.9479
17031062400,"Lake View, Chicago, IL",0.9411
17031540102,"Golden Gate, Chicago, IL",0.9378
17031813702,"Cicero, IL",0.9369
17031461000,"South Chicago, Chicago, IL",0.9355
17031060300,"Lake View, Chicago, IL",0.9324
17031170900,"Belmont Heights, Chicago, IL",0.9311
17031050800,"North Center, Chicago, IL",0.9298
17031241100,"Humboldt Park, Chicago, IL",0.9278
17031243400,"West Town, Chicago, IL",0.9231
17031050600,"North Center, Chicago, IL",0.918
17031670800,"Englewood, Chicago, IL",0.9165
17031834500,"South Side, Chicago, IL",0.9154
17031241600,"Pulaski Park, Chicago, IL",0.9151
17031390600,"Kenwood, Chicago, IL",0.9142
17031281900,"Near West Side, Chicago, IL",0.9122
17031815000,"Berwyn, IL",0.9117
17031051200,"North Center, Chicago, IL",0.9104
17031520100,"East Side, Chicago, IL",0.9103
17031420600,"South Side, Chicago, IL",0.9102
17031210700,"Avondale, Chicago, IL",0.9092
17031691000,"South Side, Chicago, IL",0.9082
17031230200,"Humboldt Park, Chicago, IL",0.9081
17031061800,"Boystown, Chicago, IL",0.9072
17031630200,"Gage Park, Chicago, IL",0.9057
17031242700,"Humboldt Park, Chicago, IL",0.9052
17043844802,"Downers Grove, IL",0.9048
17031222800,"Logan Square, Chicago, IL",0.9023
17031063303,"Lake View East, Chicago, IL",0.902
17031271400,"East Garfield Park, Chicago, IL",0.901
17031210800,"Avondale, Chicago, IL",0.9006
17043845808,"Woodridge, IL",0.8987
17031210400,"Avondale, Chicago, IL",0.8984
17031831700,"Old Irving Park, Chicago, IL",0.8981
17031191302,"Belmont Central, Chicago, IL",0.8974
17031700502,"Ashburn, Chicago, IL",0.8968
17031200300,"Hermosa, Chicago, IL",0.8955
17031810900,"Elmwood Park, IL",0.8955
17031817300,"Maywood, IL",0.8949
17031050700,"North Center, Chicago, IL",0.8949
17031151001,"Cragin, Chicago, IL",0.8941
17031823304,"Merrionette Park, IL",0.8937
17031819802,"Western Springs, IL",0.8924
17031240800,"West Town, Chicago, IL",0.8913
17031301801,"Little Village, Chicago, IL",0.8909
17031580800,"Brighton Park, Chicago, IL",0.8902
17031270500,"Garfield Park, Chicago, IL",0.8902
17031820400,"Summit, IL",0.8895
17031816500,"Stone Park, IL",0.8888
17031301803,"Little Village, Chicago, IL",0.8887
17043845703,"Downers Grove, IL",0.8887
17031480200,"South Side, Chicago, IL",0.8884
17031770601,"Des Plaines, IL",0.8884
17031841100,"Armour Square, Chicago, IL",0.8881
17031410100,"South Side, Chicago, IL",0.888
17031090200,"Edison Park, Chicago, IL",0.8877
17031832900,"University Village / Little Italy, Chicago, IL",0.8876
17031210900,"Avondale, Chicago, IL",0.8871
17031300500,"Little Village, Chicago, IL",0.8862
17031250200,"Austin, Chicago, IL",0.8855
17031813500,"Cicero, IL",0.8853
18089030100,"East Chicago, IN",0.8848
17031812200,"Oak Park, IL",0.8846
17031815100,"Berwyn, IL",0.8837
17031842000,"Bronzeville, Chicago, IL",0.8834
17031410200,"Hyde Park, Chicago, IL",0.8834
17031550200,"South Side, Chicago, IL",0.883
17031611200,"Back of the Yards, Chicago, IL",0.8829
17031818402,"Westchester, IL",0.8821
17031230600,"Humboldt Park, Chicago, IL",0.8817
17043845300,"Hinsdale, IL",0.8809
17031100400,"Norwood Park, Chicago, IL",0.8793
17043844002,"Elmhurst, IL",0.879
17031818300,"Hillside, IL",0.8788
17031842400,"South Side, Chicago, IL",0.8785
17031310200,"East Pilsen, Chicago, IL",0.8783
17031242500,"West Town, Chicago, IL",0.8775
17031040700,"Lincoln Square, Chicago, IL",0.8771
17031190900,"Belmont Cragin, Chicago, IL",0.8763
17043843000,"Elmhurst, IL",0.8762
17031040401,"Lincoln Square, Chicago, IL",0.8761
17031150401,"Portage Park, Chicago, IL",0.876
17031630900,"Gage Park, Chicago, IL",0.8759
17031824006,"Lemont, IL",0.8757
17031806600,"Des Plaines, IL",0.8756
17031010503,"Rogers Park, Chicago, IL",0.8755
17031440800,"South Side, Chicago, IL",0.8754
17031561100,"South Side, Chicago, IL",0.8754
17031491300,"Roseland, Chicago, IL",0.8753
17031818600,"La Grange Park, IL",0.8752
17031170700,"Belmont Heights, Chicago, IL",0.8746
17031821200,"Blue Island, IL",0.8746
17031770202,"Elk Grove Village, IL",0.8743
17031590500,"South Side, Chicago, IL",0.8734
17031824702,"Midlothian, IL",0.8732
17031140301,"Albany Park, Chicago, IL",0.8726
17043840802,"Bensenville, IL",0.872
17031580700,"Brighton Park, Chicago, IL",0.872
17031160602,"Irving Park, Chicago, IL",0.8716
17197881002,"Lockport, IL",0.8715
