"tract","Name","Employment_Rate_rP_gP_p50"
17031061100,"Wrigleyville, Chicago, IL",0.9616
17031070103,"Lincoln Park, Chicago, IL",0.92
17031381500,"Bronzeville, Chicago, IL",0.8968
17031081900,"Cabrini-Green, Chicago, IL",0.8959
17031411100,"Hyde Park, Chicago, IL",0.8877
17031819801,"Western Springs, IL",0.8853
17031222600,"Logan Square, Chicago, IL",0.8832
17031060300,"Lake View, Chicago, IL",0.8769
17031240600,"West Town, Chicago, IL",0.8726
17031090300,"Edison Park, Chicago, IL",0.871
17031241100,"Humboldt Park, Chicago, IL",0.8704
17031540102,"Golden Gate, Chicago, IL",0.869
17031230300,"Humboldt Park, Chicago, IL",0.8677
17197881002,"Lockport, IL",0.8633
17031270500,"Garfield Park, Chicago, IL",0.8571
18089030100,"East Chicago, IN",0.8558
17031841100,"Armour Square, Chicago, IL",0.8542
17031824115,"Orland Park, IL",0.8537
17031834500,"South Side, Chicago, IL",0.8535
17031210800,"Avondale, Chicago, IL",0.8521
17031691000,"South Side, Chicago, IL",0.852
17031815000,"Berwyn, IL",0.8518
17031461000,"South Chicago, Chicago, IL",0.851
17031819900,"Western Springs, IL",0.8503
17043845702,"Downers Grove, IL",0.85
17031823903,"Palos Park, IL",0.8497
17043843602,"Lombard, IL",0.8486
17031817300,"Maywood, IL",0.8463
17031222800,"Logan Square, Chicago, IL",0.8463
17031230200,"Humboldt Park, Chicago, IL",0.8457
17031242700,"Humboldt Park, Chicago, IL",0.8451
17031821800,"Evergreen Park, IL",0.845
17031271400,"East Garfield Park, Chicago, IL",0.8446
17031813702,"Cicero, IL",0.8443
17031819700,"La Grange, IL",0.8442
17031805502,"Park Ridge, IL",0.8437
17031740200,"Mount Greenwood, Chicago, IL",0.8436
17031480200,"South Side, Chicago, IL",0.8424
17031210700,"Avondale, Chicago, IL",0.8413
17031770202,"Elk Grove Village, IL",0.8404
17031200300,"Hermosa, Chicago, IL",0.8399
17031810900,"Elmwood Park, IL",0.8398
17031243100,"West Town, Chicago, IL",0.8394
17031520100,"East Side, Chicago, IL",0.8391
17031420600,"South Side, Chicago, IL",0.8385
17031770901,"Harwood Heights, IL",0.8383
17031240800,"West Town, Chicago, IL",0.8376
17031821900,"Evergreen Park, IL",0.8365
17031170900,"Belmont Heights, Chicago, IL",0.8361
17031818401,"Hillside, IL",0.8355
17043845000,"Westmont, IL",0.8346
17031818200,"Westchester, IL",0.8346
17031805701,"Park Ridge, IL",0.8345
17031060400,"Lake View, Chicago, IL",0.8343
17031140301,"Albany Park, Chicago, IL",0.8339
17031062400,"Lake View, Chicago, IL",0.8339
17031071700,"Lincoln Park, Chicago, IL",0.8334
17031061000,"Lake View, Chicago, IL",0.8334
17031051300,"North Center, Chicago, IL",0.832
17031210400,"Avondale, Chicago, IL",0.8319
17043844401,"Downers Grove, IL",0.8317
17031823102,"Worth, IL",0.8315
17031816500,"Stone Park, IL",0.8313
17031210900,"Avondale, Chicago, IL",0.8312
17031242500,"West Town, Chicago, IL",0.8308
17031670800,"Englewood, Chicago, IL",0.8307
17031063100,"Lake View East, Chicago, IL",0.8306
17031580700,"Brighton Park, Chicago, IL",0.83
17031301801,"Little Village, Chicago, IL",0.8298
17043845507,"Darien, IL",0.8297
17031820101,"Indian Head Park, IL",0.8295
17031340400,"Armour Square, Chicago, IL",0.829
17031070200,"Lincoln Park, Chicago, IL",0.829
17031720100,"Beverly, Chicago, IL",0.8288
17031071000,"Lincoln Park, Chicago, IL",0.8287
17043845901,"Burr Ridge, IL",0.8287
17031140702,"Albany Park, Chicago, IL",0.8286
17031720300,"South Side, Chicago, IL",0.8285
17031842400,"South Side, Chicago, IL",0.8284
17031818300,"Hillside, IL",0.8281
17031824105,"Orland Park, IL",0.8281
17031813500,"Cicero, IL",0.8276
18089030700,"East Chicago, IN",0.8276
17031750300,"South Side, Chicago, IL",0.8276
17031240900,"West Town, Chicago, IL",0.8272
17031823400,"Blue Island, IL",0.827
17031190701,"Belmont Cragin, Chicago, IL",0.8269
17031816800,"Berkeley, IL",0.8268
17031240500,"West Town, Chicago, IL",0.8261
